"Peruskivi","1907","3"
"Peruskivi","1908","4"
"Peruskivi","1909","4"
"Kodin ystävä","1900","1"
"MKTROROLOOTSKA OBSERVATIONER, ANSTÄLLDA VID MAONETISKA OCTT METEOROLOGISKA ORSEUVATORIUM I FIELSINGFORS.","1858","1"
"Vasama","1896","1"
"Vasama","1897","1"
"Vasama","1899","1"
"Vasama","1901","1"
"Uuden Suomettaren juttu-tupa","1890","52"
"Uuden Suomettaren juttu-tupa","1891","52"
"Uuden Suomettaren juttu-tupa","1892","52"
"Uuden Suomettaren juttu-tupa","1893","52"
"Uuden Suomettaren juttu-tupa","1894","52"
"Uuden Suomettaren juttu-tupa","1895","52"
"Uuden Suomettaren juttu-tupa","1896","52"
"Uuden Suomettaren juttu-tupa","1897","51"
"Uuden Suomettaren juttu-tupa","1898","8"
"Uuden Suomettaren juttu-tupa","1899","52"
"Uuden Suomettaren juttu-tupa","1900","51"
"Uuden Suomettaren juttu-tupa","1901","52"
"Pschutt","1884","1"
"Maatalous","1907","1"
"Maatalous","1908","20"
"Maatalous","1909","20"
"Lekmannen : tidskrift för religion och allmän sedlighet","1883","1"
"Lekmannen : tidskrift för religion och allmän sedlighet","1884","24"
"Lekmannen : tidskrift för religion och allmän sedlighet","1885","3"
"Ratti-Matti","1900","1"
"Kyminlaakso\u000d\u000aKyminlaakso","1908","13"
"Fiskeritidskrift för Finland","1892","11"
"Fiskeritidskrift för Finland","1893","10"
"Fiskeritidskrift för Finland","1896","7"
"Fiskeritidskrift för Finland","1897","8"
"Fiskeritidskrift för Finland","1898","9"
"Fiskeritidskrift för Finland","1899","8"
"Fiskeritidskrift för Finland","1900","9"
"Fiskeritidskrift för Finland","1901","9"
"Fiskeritidskrift för Finland","1902","9"
"Fiskeritidskrift för Finland","1903","10"
"Fiskeritidskrift för Finland","1904","9"
"Fiskeritidskrift för Finland","1905","3"
"Fiskeritidskrift för Finland","1906","3"
"Fiskeritidskrift för Finland","1907","4"
"Fiskeritidskrift för Finland","1908","5"
"Fiskeritidskrift för Finland","1909","3"
"Söndagsskolebladet","1889","6"
"Söndagsskolebladet","1890","12"
"Söndagsskolebladet","1891","12"
"Söndagsskolebladet","1892","11"
"Söndagsskolebladet","1893","11"
"Söndagsskolebladet","1903","11"
"Söndagsskolebladet","1904","11"
"Söndagsskolebladet","1905","11"
"Söndagsskolebladet","1906","11"
"Söndagsskolebladet","1907","11"
"Söndagsskolebladet","1908","11"
"Söndagsskolebladet","1909","11"
"Arbetet","1908","2"
"Arbetet","1909","52"
"Maallikkoin ääniä : kristillinen lehti kansalle","1895","2"
"Kotka Nyheter","1895","1"
"Kotka Nyheter","1897","63"
"Kotka Nyheter","1898","101"
"Kotka Nyheter","1899","76"
"Kotka Nyheter","1900","86"
"Kotka Nyheter","1901","103"
"Kotka Nyheter","1902","102"
"Kotka Nyheter","1903","99"
"Kotka Nyheter","1904","98"
"Kotka Nyheter","1905","97"
"Kotka Nyheter","1906","100"
"Kotka Nyheter","1907","102"
"Kotka Nyheter","1908","100"
"Kotka Nyheter","1909","101"
"Kokko","1879","1"
"Lördagsqvällen","1888","13"
"Lördagsqvällen","1889","52"
"Lördagsqvällen","1890","52"
"Lördagsqvällen","1891","52"
"Lördagsqvällen","1892","53"
"Lördagsqvällen","1893","52"
"Lördagsqvällen","1894","52"
"Lördagsqvällen","1895","52"
"Lördagsqvällen","1896","52"
"Lördagsqvällen","1897","48"
"Kristinestads Tidning","1897","35"
"Kristinestads Tidning","1898","103"
"Kristinestads Tidning","1899","101"
"Kristinestads Tidning","1900","101"
"Kodin Ystävä","1896","23"
"Kodin Ystävä","1895","24"
"Nystads Tidning","1896","52"
"Nystads Tidning","1895","3"
"Haminan Kuulumiset","1899","1"
"Suomen Lähetys-Sanomia","1869","22"
"Suomen Lähetys-Sanomia","1870","24"
"Walon Säkeniä","1880","12"
"Walon Säkeniä","1881","12"
"Walon Säkeniä","1879","1"
"Tammerfors Annonsblad","1899","8"
"Ecclesiastikt litteraturblad","1841","12"
"Ecclesiastikt litteraturblad","1842","12"
"Ecclesiastikt litteraturblad","1843","12"
"Ecclesiastikt litteraturblad","1844","12"
"Ecclesiastikt litteraturblad","1845","12"
"Koti ja Yhteiskunta","1889","9"
"Koti ja Yhteiskunta","1890","10"
"Koti ja Yhteiskunta","1891","10"
"Koti ja Yhteiskunta","1908","11"
"Koti ja Yhteiskunta","1909","11"
"Koti ja Yhteiskunta","1893","10"
"Koti ja Yhteiskunta","1892","10"
"Koti ja Yhteiskunta","1900","10"
"Koti ja Yhteiskunta","1901","11"
"Koti ja Yhteiskunta","1902","10"
"Koti ja Yhteiskunta","1903","11"
"Dagen","1907","3"
"Dagen","1899","1"
"Kewään Eleitä","1901","1"
"Opettajain lehti","1905","1"
"Opettajain lehti","1906","52"
"Opettajain lehti","1907","52"
"Opettajain lehti","1908","52"
"Opettajain lehti","1909","52"
"Opettajain lehti","1900","1"
"Kokkola","1897","1"
"Kokkola","1898","103"
"Kokkola","1899","102"
"Kokkola","1900","102"
"Kokkola","1901","124"
"Kokkola","1902","74"
"Kokkola","1903","120"
"Kokkola","1904","105"
"Kokkola","1905","102"
"Kokkola","1906","102"
"Kokkola","1907","104"
"Kokkola","1908","103"
"Kokkola","1909","151"
"Laulaja poika : leikillinen vihkonen","1909","1"
"Tampere","1882","1"
"Tampere","1883","152"
"Tampere","1884","105"
"Tampere","1885","102"
"Björneborgs Tidning","1860","26"
"Björneborgs Tidning","1861","52"
"Björneborgs Tidning","1862","50"
"Björneborgs Tidning","1863","52"
"Björneborgs Tidning","1864","50"
"Björneborgs Tidning","1865","24"
"Björneborgs Tidning","1872","1"
"Björneborgs Tidning","1873","104"
"Björneborgs Tidning","1874","101"
"Björneborgs Tidning","1875","102"
"Björneborgs Tidning","1876","102"
"Björneborgs Tidning","1877","101"
"Björneborgs Tidning","1878","103"
"Björneborgs Tidning","1879","104"
"Björneborgs Tidning","1880","102"
"Björneborgs Tidning","1881","104"
"Björneborgs Tidning","1882","102"
"Björneborgs Tidning","1883","102"
"Björneborgs Tidning","1884","105"
"Björneborgs Tidning","1885","101"
"Björneborgs Tidning","1886","102"
"Björneborgs Tidning","1887","104"
"Björneborgs Tidning","1888","103"
"Björneborgs Tidning","1889","111"
"Björneborgs Tidning","1890","112"
"Björneborgs Tidning","1891","107"
"Björneborgs Tidning","1892","102"
"Björneborgs Tidning","1893","101"
"Björneborgs Tidning","1894","103"
"Björneborgs Tidning","1895","103"
"Björneborgs Tidning","1896","103"
"Björneborgs Tidning","1897","103"
"Björneborgs Tidning","1898","110"
"Björneborgs Tidning","1899","192"
"Björneborgs Tidning","1900","163"
"Björneborgs Tidning","1901","136"
"Björneborgs Tidning","1902","174"
"Björneborgs Tidning","1903","150"
"Björneborgs Tidning","1904","149"
"Björneborgs Tidning","1905","115"
"Björneborgs Tidning","1906","105"
"Björneborgs Tidning","1907","103"
"Björneborgs Tidning","1908","103"
"Björneborgs Tidning","1909","101"
"Kyläkirjaston kuvalehti.","1884","12"
"Kyläkirjaston kuvalehti.","1885","12"
"Kyläkirjaston kuvalehti.","1886","11"
"Kyläkirjaston kuvalehti.","1887","12"
"Påsk-Nisse","1892","1"
"Påsk-Nisse","1894","1"
"Påsk-Nisse","1895","1"
"Movitz","1906","1"
"Movitz","1907","13"
"Hyvästi","1899","1"
"Markkina-Maija : joka pojan hellu","1893","1"
"Wiipurin Uudet Sanomat","1899","1"
"V—y >>°^ , V— fa","1864","1"
"Hämärä","1899","1"
"Thalia","1893","1"
"Wasa Posten","1898","3"
"Wasa Posten","1899","104"
"Wasa Posten","1900","104"
"Puutarha","1898","12"
"Puutarha","1899","12"
"Puutarha","1900","12"
"Puutarha","1901","12"
"Puutarha","1902","12"
"Puutarha","1903","12"
"Puutarha","1904","12"
"Puutarha","1905","12"
"Puutarha","1906","12"
"Puutarha","1907","12"
"Puutarha","1908","12"
"Puutarha","1909","12"
"Mielikki","1864","1"
"Mielikki","1865","23"
"Kylväjä","1896","1"
"Kylväjä","1897","52"
"Kylväjä","1898","52"
"Kylväjä","1899","63"
"Kylväjä","1900","51"
"Kylväjä","1901","48"
"Kylväjä","1902","50"
"Kylväjä","1903","47"
"Kylväjä","1904","58"
"Kylväjä","1905","60"
"Kylväjä","1906","61"
"Kylväjä","1907","59"
"Kylväjä","1908","12"
"Kylväjä","1909","12"
"Onsdagsposten","1899","1"
"Grafiska förbundets meddelanden","1908","2"
"Grafiska förbundets meddelanden","1909","4"
"Rauhan towerit","1904","1"
"Rauhan towerit","1905","12"
"Rauhan towerit","1906","12"
"Rauhan towerit","1907","12"
"Rauhan towerit","1908","12"
"Rauhan towerit","1909","12"
"Rauhan towerit","1902","1"
"Sjömansvännen","1892","12"
"Sjömansvännen","1893","12"
"Sjömansvännen","1894","12"
"Sjömansvännen","1895","12"
"Sjömansvännen","1896","12"
"Sjömansvännen","1897","12"
"Sjömansvännen","1898","12"
"Sjömansvännen","1899","11"
"Sjömansvännen","1900","11"
"Sjömansvännen","1901","11"
"Tilapäinen Ilmoittaja","1901","1"
"FRAMTID","1905","3"
"FRAMTID","1906","51"
"FRAMTID","1907","51"
"FRAMTID","1908","50"
"FRAMTID","1909","49"
"LITTERATURBLAD för allmän medborgerlig bildning.","1847","7"
"Viikon kuvat","1905","1"
"Viikon kuvat","1906","13"
"Sunnuntai- ja pyhä-lehti.","1856","7"
"Sunnuntai- ja pyhä-lehti.","1855","1"
"Marraskuun 2p.","1901","1"
"Tidskrift för schack","1891","1"
"Tidskrift För Hälsovård","1907","12"
"Tidskrift För Hälsovård","1899","11"
"Tidskrift För Hälsovård","1908","12"
"Tidskrift För Hälsovård","1900","10"
"Anjalan Sanomat","1899","1"
"Sosialisti","1906","214"
"Sosialisti","1907","301"
"Sosialisti","1908","303"
"Sosialisti","1909","302"
"Suomalainen sanomalehtiluettelo","1904","1"
"Suomalainen sanomalehtiluettelo","1905","1"
