ISSN,ALPVM,LOPVM,LEVIKKI,LEVIKKI_S
0357-9107,01.01.1995,31.12.1995,4670,
0357-9107,01.01.1990,31.12.1994,4908,
fk16076,01.01.1995,31.12.1997,3040,
fk16076,01.01.1993,31.12.1994,3258,
fk16076,01.01.1991,31.12.1992,3483,
fk16076,01.01.1990,31.12.1990,3633,
fk14594,01.01.1995,,13000,
fk14594,01.01.1990,31.12.1994,10000,
1236-7796,01.01.1996,31.12.1997,4645,
1236-7796,01.01.1994,31.12.1995,4871,
1236-7796,01.01.1992,31.12.1993,5001,
1236-7796,01.01.1990,31.12.1991,5174,
0782-5587,01.01.1996,31.12.1997,8145,
0782-5587,01.01.1994,31.12.1995,8464,
0782-5587,03.01.1992,31.12.1993,8951,
0782-5587,01.01.1991,02.01.1992,8907,
fk16483,17.11.1961,,6000,
0355-8606,01.01.1942,31.12.1942,6850,
0782-596X,01.01.1997,31.12.1998,7826,
0782-596X,01.01.1996,31.12.1996,8057,
0782-596X,01.01.1994,31.12.1995,8675,
0782-596X,01.01.1991,31.12.1993,8794,
0782-596X,01.01.1990,31.12.1990,8870,
fk14478,01.01.1996,31.12.1997,4283,
fk14478,01.01.1994,31.12.1995,4468,
fk14478,01.01.1993,31.12.1993,4607,
fk14478,01.01.1992,31.12.1992,4624,
fk14478,01.01.1991,31.12.1991,4691,
fk14478,01.01.1990,31.12.1990,4671,
0782-5994,01.01.1996,31.12.1997,2961,
0782-5994,01.01.1994,31.12.1995,3087,
0782-5994,01.01.1992,31.12.1993,3321,
0782-5994,01.01.1990,31.12.1991,3498,
0357-0983,01.01.1997,31.12.1998,3568,
0357-0983,01.01.1996,31.12.1996,3666,
0357-0983,01.01.1991,31.12.1995,3984,
0357-0983,01.01.1990,31.12.1990,3894,
1236-8407,01.01.1996,31.12.0996,6813,
1236-8407,01.01.1995,31.12.1995,6823,
1236-8407,01.01.1994,31.12.1994,7155,
1236-8407,01.01.1993,31.12.1993,7376,
1236-8407,01.01.1991,31.12.1992,7487,
1236-8407,01.01.1990,31.12.1990,7509,
0357-1521,01.01.1998,31.12.2000,9980,
0357-1521,01.01.1996,31.12.1997,11622,
0782-5684,01.01.1997,31.12.1998,8478,
0357-1521,01.01.1994,31.12.1995,14008,
0357-1521,01.01.1992,31.12.1993,16136,
0357-1521,01.01.1990,31.12.1991,43454,
0782-5684,01.01.1996,31.12.1996,8588,
0782-5684,01.01.1994,31.12.1995,9102,
0782-5684,31.08.1989,31.12.1993,9325,
0782-5684,03.06.1986,30.08.1989,9339,
0782-5684,01.11.1984,02.06.1986,9320,
0782-5684,24.06.1982,31.10.1984,9025,
0782-5684,07.08.1980,23.06.1982,8754,
0782-5684,03.01.1974,06.08.1980,6910,
0358-4410,01.01.1996,19.12.2002,3500,
0358-4410,01.01.1994,31.12.1995,3751,
0358-4410,01.01.1993,31.12.1993,3938,
0358-4410,01.01.1992,31.12.1992,4025,
0358-4410,01.01.1990,31.12.1991,3959,
0358-4410,01.01.1989,31.12.1989,3971,
0358-4410,01.01.1988,31.12.1988,3889,
0358-4410,01.01.1987,31.12.1987,3813,
0358-4410,01.01.1986,31.12.1986,3697,
0358-4410,01.01.1985,31.12.1985,3616,
1235-8223,01.01.1996,31.12.1998,5258,
1235-8223,01.01.1994,31.12.1995,5546,
1235-8223,01.01.1992,31.12.1993,5690,
1235-8223,01.01.1991,31.12.1991,5938,
1235-8223,01.01.1990,31.12.1990,5835,
1235-8223,01.01.1984,31.12.1984,5537,
0782-5625,01.01.1998,31.12.1999,4353,
0782-5625,01.01.1996,31.12.1997,4929,
0782-5625,01.01.1994,31.12.1995,5326,
0782-5625,01.01.1992,31.12.1993,5824,
0782-5625,01.01.1990,31.12.1991,6079,
0782-5625,01.01.1988,31.12.1989,6279,
0782-5625,01.01.1986,31.12.1987,6154,
0782-5625,01.01.1984,31.12.1985,6396,
0782-5625,01.01.1982,31.12.1983,6270,
0782-5625,01.01.1980,31.12.1980,6026,
0782-6206,01.01.1997,31.12.1998,5743,
0782-6206,01.01.1995,31.12.1996,5911,
0782-6206,01.01.1994,31.12.1994,6500,
0782-6206,01.01.1991,31.12.1993,6008,
0782-6206,01.01.1989,31.12.1990,5923,
0782-6206,01.01.1985,31.12.1985,5564,
0357-1386,01.01.1996,31.12.1998,5668,
0357-1386,01.01.1993,31.12.1995,5944,
0357-1386,01.01.1992,31.12.1992,6144,
0357-1386,01.01.1990,31.12.1991,6083,
0357-1386,01.01.1988,31.12.1989,6088,
0357-1386,01.01.1985,31.12.1987,5809,
0357-1386,01.01.1984,31.12.1984,5724,
0357-1386,01.01.1983,31.12.1983,5520,
0782-6656,01.01.1996,31.12.1997,6762,
0782-6656,01.01.1994,31.12.1995,6987,
0782-6656,01.01.1992,31.12.1993,7285,
0782-6656,01.01.1990,31.12.1991,7451,
