"ISSN","PAANIMEKE","AINYLEISMAARE","JULKAISUMAA","KIELI","KOKO","KORKEUS_CM","LEVEYS_CM","KUSTANTAJA","TEKSTITYYPPI","start_date","end_date","start_year","end_year","KAUPUNKI_NORM","levikki_1800","levikki_1801","levikki_1802","levikki_1803","levikki_1804","levikki_1805","levikki_1806","levikki_1807","levikki_1808","levikki_1809","levikki_1810","levikki_1811","levikki_1812","levikki_1813","levikki_1814","levikki_1815","levikki_1816","levikki_1817","levikki_1818","levikki_1819","levikki_1820","levikki_1821","levikki_1822","levikki_1823","levikki_1824","levikki_1825","levikki_1826","levikki_1827","levikki_1828","levikki_1829","levikki_1830","levikki_1831","levikki_1832","levikki_1833","levikki_1834","levikki_1835","levikki_1836","levikki_1837","levikki_1838","levikki_1839","levikki_1840","levikki_1841","levikki_1842","levikki_1843","levikki_1844","levikki_1845","levikki_1846","levikki_1847","levikki_1848","levikki_1849","levikki_1850","levikki_1851","levikki_1852","levikki_1853","levikki_1854","levikki_1855","levikki_1856","levikki_1857","levikki_1858","levikki_1859","levikki_1860"
"1457-4799","Åbo Allmänna Tidning","SAN","FI","swe","A5",20,16,"Johan Christoffer Frenckell","FRA","1810-01-02","1819-12-30",1810,1819,"Turku",,,,,,,,,,,374,374,374,430,480,486,507,"501ca","501ca",495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4829","Åbo Morgonblad","SAN","FI","swe","A4",21,17,"A. I. Arwidsson","ANT","1821-01-05","1821-10-03",1821,1821,"Turku",,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4764","Åbo Nya Tidningar","SAN","FI","swe","A5",16,10,"Johan Christoffer Frenckell","FRA","1789-01-02","1789-12-24",1789,1789,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4780","Åbo Tidning","SAN","FI","swe","A5",20,16,"Johan Christoffer Frenckell","FRA","1800-01-08","1809-12-30",1800,1809,"Turku",200,200,200,200,200,200,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4772","Åbo Tidningar","SAN","FI","swe","A5",20,16,"Johan Christoffer Frenckell","FRA","1791-01-03","1799-12-30",1791,1799,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4802","Åbo Tidningar","SAN","FI","swe","A3",,,"J. F. Granlund",,"1820-01-05","1861-01-15",1820,1861,"Turku",,,,,,,,,,,,,,,,,,,,,281,278,275,"265ca","256pt",297,"311pt","285pt","297pt","222pt",276,"182pt","207ca","233ta","204ta",238,"237ta","382ta","397ta","417ta",408,"405ta","417ta","435pt","376pt",364,"307pt","327ta","511pt","491pt",601,"623pt","527pt","538pt","465pt",499,"500ta","508pt","513pt","536ta",328
"0785-398X","Åbo Underrättelser","SAN","FI","swe","A3",43,28,"Förlags Ab Sydvästkusten","ANT","1824-01-03",2020-01-01,1824,2020,"Turku",,,,,,,,,,,,,,,,,,,,,,,,,"115pt","94pt","89pt","75pt",,"16pt","31pt","228pt","373ca",519,"470pt","535ta","489ta","489ta","486ta","486ta","478pt","457ta","506ta",495,"537pt","636pt","652pt","726pt","716ta","784pt","788pt","690pt","828pt",883,"1015ta","1148pt","1099pt","1040pt","1131pt","1279pt","1344pt"
"1457-425X","Annons-Blad","SAN","FI","swe","A5",25,19,"Fredrik Ahlqvist","AFR","1858-02-06","1859-03-05",1858,1859,"Kuopio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27ca","27tap",
"1457-4276","Björneborgs Tidning","SAN","FI","swe","A4",33,24,"Mauritz Thiesen","FRA","1860-07-06","1865-06-23",1860,1865,"Pori",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"309pt"
"0358-6294","Borgåbladet","SAN","FI","swe","A3",40,28,"Ã–stra Nylands Tidningar Ab","ANT","1860-12-15",2015-12-31,1860,2015,"Porvoo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1457-4306","Borgå Tidning","SAN","FI","swe","A4",30,22,"Petter Widerholm","ANT","1837-12-02","1858-06-30",1837,1858,"Porvoo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,"355ta","408ta","499ta","491ta",515,"519pt","460pt","418pt","293ta",320,"305pt","330pt","320ta","317pt",281,"270ta","203pt","195pt",196,"196ca",,
"1457-4314","Finlands Allmänna Tidning","SAN","FI","swe","A4",21,17,"tuntematon","FRA","1820-01-03",1931-12-31,1820,1931,"Helsinki",,,,,,,,,,,,,,,,,,,,,"695pt","577pt","635pt","640ca","646pt","678pt","732pt","729pt","759pt","763pt","729pt","740pt","833ca","927pt","988pt","909pt","922ta","924ta","920ta","919pt","885ta","917ta","925pt","905pt","895pt","881pt","893pt","893pt","974pt","997pt","1176pt","1204pt","1279pt","1366pt","1547pt","1824pt","1858pt","1644pt","1557pt","1433pt","1423pt"
"1457-4403","Hämäläinen","SAN","FI","fin","A3-A2",,,"Oy Hämäläinen","FRA","1858-09-03",1901-03-09,1858,1901,"Hämeenlinna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,657,486
