PAINOKSEN_ISSN,PAINOS,PAINOS_ALPVM,LEVIKKIALUE
fk14915,1,29.10.1934,Nykarleby
1458-6509,1,01.10.1875,Wiborg
fk14917,1,16.12.1905,Viborg
fk14918,1,07.12.1962,Outokumpu lähikuntineen
fk14919,1,02.11.1960,Rovaniemi
fk14920,1,16.07.1962,Rovaniemi
fk14921,1,25.04.1917,HELSINKI
fk14922,1,07.01.1931,Kimito
fk14923,1,14.12.1935,Vasa
fk14924,1,05.12.1919,HELSINKI
fk14925,1,17.09.1938,Åland
fk14926,1,02.03.1919,HELSINKI
fk14927,1,16.06.1922,HELSINKI
fk14928,1,26.11.1918,Helsinki
1235-9645,1,17.01.1964,Säkylä
fk14930,1,11.02.1919,Helsingfors
fk14931,1,04.01.1961,Haapajärvi
fk14932,1,17.06.1950,Ylitornio
fk14932,1,17.06.1950,Pello
fk14932,1,17.06.1950,Kolari
fk14932,1,17.06.1950,Muonio
fk14933,1,09.07.1917,Helsinki
fk14934,1,27.08.1960,Kitee
fk14935,1,15.11.1963,Naantali
fk14935,1,15.11.1963,Raisio
fk14935,1,15.11.1963,Masku
fk14936,1,16.12.1923,HELSINKI
fk14937,1,20.11.1959,Muhos
fk14938,1,10.12.1903,Kuopio
fk14939,1,01.06.1945,Helsingfors
fk14940,1,25.07.1905,Kotka
fk31737,1,14.04.1934,Tampere
fk32330,1,01.09.1932,Helsinki
fk14943,1,28.11.1948,Helsinki
fk14944,1,03.03.1960,Pietarsaari
fk14945,1,13.07.1960,Pietarsaari
1457-4640,1,07.01.1871,Jyväskylä
fk14947,1,13.11.1920,Kristiina
fk14947,1,13.11.1920,Suupohja
fk14950,1,13.05.1964,Loimaa
fk14951,1,29.05.1916,Paimio
fk14952,1,25.09.1916,Paimio
fk14953,1,17.11.1931,Tornio
fk14954,1,15.09.1934,Etelä- ja Keski-Pohjanmaa
fk14955,1,05.11.1925,Kuopio
fk14956,1,05.01.1932,Kuopio
fk14957,1,07.11.1928,Helsinki
fk14958,1,19.11.1930,Helsinki
fk14959,1,03.12.1931,Helsinki
1458-6622,1,01.12.1882,Savonlinna
1458-6622,1,01.12.1882,Sääminki
1458-6622,1,01.12.1882,Kerimäki
fk25055,1,23.12.1907,Helsingfors
fk14963,1,11.07.1899,Tammerfors
fk14964,1,09.08.1899,Tammerfors
fk14965,1,26.10.1955,Urjala
1458-6568,1,07.02.1891,Kuopio
1458-6576,1,21.02.1891,Kuopio
fk14969,1,12.10.1939,Koko Suomi
fk14970,1,16.10.1963,Perniö
fk14970,1,16.10.1963,Särkisalo
fk14972,1,05.10.1920,Petroskoi
fk14973,1,12.10.1923,PETROSKOI
fk14974,1,04.01.1956,Alavus
fk14974,1,04.01.1956,Virrat
fk14974,1,04.01.1956,Ähtäri
fk14974,1,04.01.1956,Töysä
fk14975,1,27.02.1958,Alavus
fk14975,1,27.02.1958,Virrat
fk14975,1,27.02.1958,Ähtäri
fk14975,1,27.02.1958,Töysä
1458-0764,1,11.03.1890,Hangö
fk14978,1,02.10.1946,Häme
fk14978,1,02.10.1946,Satakunta
fk14979,1,01.12.1941,Itä-Karjala
fk14980,1,15.12.1938,Kokkola
fk14981,1,25.05.1897,Kotka
fk14981,1,25.05.1897,Pyhtää
1458-0780,1,06.12.1941,Hangö
fk14983,1,05.02.1918,Antrea
fk14984,1,21.12.1914,Loimaa
fk14984,1,21.12.1914,Alastaro
fk14984,1,21.12.1914,Metsämaa
fk14984,1,21.12.1914,Mellilä
fk14985,1,26.01.1922,Mynämäki
fk14985,1,26.01.1922,Mietoinen
fk14985,1,26.01.1922,Karjala
fk14987,1,10.07.1924,Mouhijärvi
fk14987,1,10.07.1924,Suodenniemi
fk14987,1,10.07.1924,Lavia
fk14988,1,20.03.1918,Porvoo
fk14989,1,14.11.1917,Helsinki
fk14990,1,13.10.1910,Helsinki
fk14991,1,07.06.1921,Virrat
fk14992,1,04.01.1924,Virrat
fk14992,1,04.01.1924,Ähtäri
fk14993,1,07.01.1920,Paimio
fk14993,1,07.01.1920,Sauvo
fk14993,1,07.01.1920,Karuna
fk14994,1,07.04.1920,Paimio
fk14994,1,07.04.1920,Sauvo
fk14994,1,07.04.1920,Karuna
fk14994,1,07.04.1920,Piikkiö
fk14995,1,16.02.1973,Oulu
fk14995,1,12.03.1974,HELSINGIN-SEUTU
fk14995,2,11.03.1974,OULU
fk14996,1,15.03.1918,Antrea
fk14997,1,27.02.1973,Helsinki
fk14998,1,04.10.1968,Lahden seutu
fk14999,1,01.04.1917,Turku
fk15135,1,29.08.1993,Pieksämäki
fk15135,2,30.05.1993,Varkaus
fk15535,1,01.10.1965,Anttola
fk15535,1,01.10.1965,Mikkelin mlk
fk15535,1,01.10.1965,Ristiina
fk15549,1,29.03.1982,PARGAS
fk15573,1,16.09.1984,Mikkeli
fk15581,1,01.10.1972,Munkkiniemi
fk15581,1,01.10.1972,Niemenmäki
fk15603,1,28.04.1949,Nivala
fk15625,1,01.01.1980,Etelä-Lahti
fk15633,1,01.10.1982,Orimattila
fk15633,1,01.10.1982,Artjärvi
fk15633,1,01.10.1982,Myrskylä
2323-4253,1,27.08.1956,Mäntyharju
2323-4253,1,27.08.1956,Pertunmaa
1236-8415,1,06.11.1908,Punkalaidun
fk15725,1,16.12.1982,Puolanka
1236-5602,1,19.05.1976,Hailuoto
1236-5602,1,19.05.1976,Kempele
1236-5602,1,19.05.1976,Liminka
fk15939,1,27.11.1978,Toijala
fk15939,1,27.11.1978,Viiala
fk15939,1,27.11.1978,Kylmäkoski
fk16065,1,25.08.1988,Seinäjoki
fk16065,1,25.08.1988,Nurmo
fk16076,1,29.11.1979,Sievi
fk16098,1,23.09.1979,Leppävirta
fk16098,1,23.09.1979,Vehmersalmi
1457-8999,1,21.12.1925,Teisko
1457-8999,1,21.12.1925,Aitolahti
fk16160,1,23.02.1975,Helsinki
1236-7796,1,15.01.1969,Juuka
1236-7796,1,15.01.1969,Koli
fk16181,1,10.09.1979,Hyrylä
2323-7929,1,20.04.1978,Etu- ja Taka-Töölö
fk16218,1,30.10.1957,Naantali
fk16218,1,30.10.1957,Raisio
fk16218,1,30.10.1957,Askainen
fk16225,1,14.03.1985,Valkeala
fk16230,1,07.01.1967,Hattula
fk16230,1,07.01.1967,Kalvola
fk16255,1,31.05.1965,Vantaa
fk16482,1,07.06.1956,Viitasaari
fk16482,1,07.06.1956,Pihtipudas
fk16482,1,07.06.1956,Kanno
fk16483,1,17.11.1961,Espoo
fk16566,1,01.01.1899,Hancock
fk16566,1,01.01.1899,Michigan
fk16797,1,15.11.1963,Kotka
fk16797,1,15.11.1963,Karhula
fk17013,1,09.12.1961,Riihimäki ympäristöineen
1797-545X,1,26.09.1991,Vuolijoki
1797-545X,1,26.09.1991,Otanmäki
fk17282,1,27.10.1991,Varkaus
fk17285,1,07.08.1991,Jyväskylän ympäristö ja mlk
fk17309,1,11.08.1982,Jämsä
fk17309,1,11.08.1982,Jämsänkoski
fk17309,1,11.08.1982,Koskenpää
fk17322,1,17.09.1980,Lohja
fk17328,1,18.11.1949,Karstula
fk17328,1,18.11.1949,Kyyjärvi
fk17328,1,18.11.1949,Kivijärvi
fk17329,1,10.12.1981,Keuruu
fk17331,1,08.06.1956,Alavus
fk17331,1,08.06.1956,Kuortane
fk17331,1,08.06.1956,Lehtimäki
fk17333,1,01.11.1966,Viitasaari
fk17349,1,05.11.1965,Vuosaari (Helsinki)
fk18272,1,15.09.1991,Pieksämäki
fk18272,1,15.09.1991,Varkaus
fk18272,1,15.09.1991,Jäppilä...
fk19500,1,15.08.1968,Elimäki
fk19501,1,22.04.1970,Vaajakoski
fk19501,1,22.04.1970,Jyskä
fk19501,1,22.04.1970,Leppälahti
1458-0772,1,29.01.1941,Hangö
1458-0942,1,16.11.1881,Helsinki
fk19505,1,22.12.1926,Kauhava
1457-4373,1,02.01.1845,Helsingfors
fk02717,1,17.12.1930,Helsinki
fk19508,1,27.03.1925,Virrat
fk19508,1,27.03.1925,Ähtäri
fk19508,1,27.03.1925,Pihlajavesi
fk19509,1,05.01.1927,Virrat
fk19509,1,05.01.1927,Ähtäri
fk19509,1,05.01.1927,Alavus
fk19509,1,05.01.1927,Kuo...
fk19510,1,04.01.1929,Virrat
fk19510,1,04.01.1929,Ähtäri
fk19510,1,04.01.1929,Alavus
fk19510,1,04.01.1929,Töysä
fk19511,1,15.12.1898,Tampere ympäristöineen
fk19512,1,25.09.1970,Saarijärvi
fk19512,1,25.09.1970,Karstula
fk19512,1,25.09.1970,Kanno...
fk19513,1,02.12.1971,Hyvinkää
fk19513,1,02.12.1971,Nurmijärvi
0789-0206,1,23.10.1972,Sonkajärvi
fk19515,1,08.12.1962,Salo ympäristöineen
fk19516,1,23.06.1976,Kalajoki
fk19517,1,06.05.1918,Helsinki
fk19518,1,04.12.1918,Helsinki
fk19520,1,07.12.1918,Kuopio
fk19521,1,01.03.1919,Kuopio
fk19522,1,06.05.1919,Kuopio
fk19523,1,29.05.1919,Kuopio
fk19524,1,28.02.1920,Kuopio
fk19525,1,18.08.1920,Kuopio
fk19526,1,13.09.1921,Kuopio
fk19527,1,03.11.1921,Kuopio
